1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Mbappe
1,14.06.2024,22:00,A,Saksa,Skotlanti,1.27,5.75,11,1-1,X,1,1,,A,Saksa,1,3,3,0,3,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Dovbyk
2,15.06.2024,16:00,A,Unkari,Sveitsi,3.4,3.25,2.2,1-1,X,1,1,,A,Skotlanti,1,3,3,0,3,,1,Saksa,,Espanja,,,,,,,,Paras nuori pelaaja (10p),10,Bellingham
3,15.06.2024,19:00,B,Espanja,Kroatia,1.8,3.6,4.5,1-1,X,1,1,,A,Sveitsi,1,3,3,0,3,,2,Sveitsi,,Unkari,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Orsato
4,15.06.2024,22:00,B,Italia,Albania,1.38,4.6,8.75,1-1,X,1,1,,A,Unkari,1,3,3,0,3,,3,Unkari,,,,Espanja,,,,,,Eniten Man of the Match-valintoja (5p),5,De Bruyne
5,16.06.2024,16:00,D,Puola,Hollanti,5,3.9,1.66,1-1,X,1,1,,B,Albania,1,3,3,0,3,,4,Skotlanti,,,,Saksa,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Sommer
6,16.06.2024,19:00,C,Slovenia,Tanska,5,3.5,1.75,1-1,X,1,1,,B,Espanja,1,3,3,0,3,,Lohko B,,,Saksa,,,,,,,,,3,van Dijk
7,16.06.2024,22:00,C,Serbia,Englanti,6.75,4.4,1.47,1-1,X,1,1,,B,Italia,1,3,3,0,3,,1,Espanja,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Ruben Dias
8,17.06.2024,16:00,E,Romania,Ukraina,3.7,3.3,2.05,1-1,X,1,1,,B,Kroatia,1,3,3,0,3,,2,Italia,,,,,,Saksa,,,,,3,Saliba
9,17.06.2024,19:00,E,Belgia,Slovakia,1.49,4.33,6.75,1-1,X,1,1,,C,Englanti,1,3,3,0,3,,3,Kroatia,,,,,,Hollanti,,,,,3,Dimarco
10,17.06.2024,22:00,D,Itävalta,Ranska,6.25,4.6,1.47,1-1,X,1,1,,C,Serbia,1,3,3,0,3,,4,Albania,,Portugali,,,,,,,,,3,Bellingham
11,18.06.2024,19:00,F,Turkki,Georgia,1.8,3.5,4.75,1-1,X,1,1,,C,Slovenia,1,3,3,0,3,,Lohko C,,,Serbia,,,,,,,,,3,De Bruyne
12,18.06.2024,22:00,F,Portugali,Tshekki,1.53,4.2,6,1-1,X,1,1,,C,Tanska,1,3,3,0,3,,1,Englanti,,,,Portugali,,,,,,,3,Rodri
13,19.06.2024,16:00,B,Kroatia,Albania,1.57,4,6,1-1,X,1,1,,D,Hollanti,1,3,3,0,3,,2,Tanska,,,,Hollanti,,,,,,,3,Foden
14,19.06.2024,19:00,A,Saksa,Unkari,1.33,5.25,9.25,1-1,X,1,1,,D,Itävalta,1,3,3,0,3,,3,Serbia,,Hollanti,,,,,,,,,3,Dovbyk
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,3.5,3.4,2.1,1-1,X,1,1,,D,Puola,1,3,3,0,3,,4,Slovenia,,Ukraina,,,,,,FINAALI (16p),,,3,Mbappe
16,20.06.2024,16:00,C,Slovenia,Serbia,3.75,3.4,1.98,1-1,X,1,1,,D,Ranska,1,3,3,0,3,,Lohko D,,,,,,,,,Englanti,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,5.5,3.9,1.62,1-1,X,1,1,,E,Belgia,1,3,3,0,3,,1,Ranska,,,,,,,,Saksa,,,,
18,20.06.2024,22:00,B,Espanja,Italia,2.35,3.3,3,1-1,X,1,1,,E,Romania,1,3,3,0,3,,2,Alankomaat,,Belgia,,,,,,,,,,
19,21.06.2024,16:00,E,Slovakia,Ukraina,3.8,3.4,2,1-1,X,1,1,,E,Slovakia,1,3,3,0,3,,3,Itävalta,,Kroatia,,,,,,,,,,
20,21.06.2024,19:00,D,Puola,Itävalta,3.3,3.5,2.15,1-1,X,1,1,,E,Ukraina,1,3,3,0,3,,4,Puola,,,,Belgia,,,,,,,,
21,21.06.2024,22:00,D,Hollanti,Ranska,4.33,3.75,1.8,1-1,X,1,1,,F,Georgia,1,3,3,0,3,,Lohko E,,,,,Ranska,,,,,,,,
22,22.06.2024,16:00,F,Georgia,Tshekki,4.6,3.5,1.82,1-1,X,1,1,,F,Portugali,1,3,3,0,3,,1,Belgia,,Ranska,,,,,,,,,,
23,22.06.2024,19:00,F,Turkki,Portugali,5.25,4,1.62,1-1,X,1,1,,F,Tshekki,1,3,3,0,3,,2,Ukraina,,Turkki,,,,,,,,,,
24,22.06.2024,22:00,E,Belgia,Romania,1.52,4.2,6,1-1,X,1,1,,F,Turkki,1,3,3,0,3,,3,Romania,,,,,,Ranska,,,,,,
25,23.06.2024,22:00,A,Sveitsi,Saksa,4.33,3.9,1.77,1-1,X,1,1,,,,,,,,,,4,Slovakia,,,,,,Englanti,,,,,,
26,23.06.2024,22:00,A,Skotlanti,Unkari,2.8,3.5,2.4,1-1,X,1,1,,,,,,,,,,Lohko F,,,Englanti,,,,,,,,,,
27,24.06.2024,22:00,B,Albania,Espanja,9.5,5.25,1.33,1-1,X,1,1,,,,,,,,,,1,Portugali,,Tshekki,,,,,,,,,,
28,24.06.2024,22:00,B,Kroatia,Italia,3.7,3.6,1.95,1-1,X,1,1,,,,,,,,,,2,Turkki,,,,Englanti,,,,,,,,
29,25.06.2024,19:00,D,Hollanti,Itävalta,2.15,3.7,3.1,1-1,X,1,1,,,,,,,,,,3,Tshekki,,,,Italia,,,,,,,,
30,25.06.2024,19:00,D,Ranska,Puola,1.42,4.8,6.75,1-1,X,1,1,,,,,,,,,,4,Georgia,,Sveitsi,,,,,,,,,,
31,25.06.2024,22:00,C,Englanti,Slovenia,1.36,5,8.75,1-1,X,1,1,,,,,,,,,,,,,Italia,,,,,,,,,,
32,25.06.2024,22:00,C,Tanska,Serbia,2.4,3.4,2.87,1-1,X,1,1,,,,,,,,,,,,,,,,,,,,,,,
33,26.06.2024,19:00,E,Slovakia,Romania,2.6,3.1,2.8,1-1,X,1,1,,,,,,,,,,,,,,,,,,,,,,,
34,26.06.2024,19:00,E,Ukraina,Belgia,4.33,3.8,1.77,1-1,X,1,1,,,,,,,,,,,,,,,,,,,,,,,
35,26.06.2024,22:00,F,Georgia,Portugali,7.25,5.75,1.34,1-1,X,1,1,,,,,,,,,,,,,,,,,,,,,,,
36,26.06.2024,22:00,F,Tshekki,Turkki,3.1,3.3,2.3,1-1,X,1,1,,,,,,,,,,,,,,,,,,,,,,,
