1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Jude Bellingham
1,14.06.2024,22:00,A,Saksa,Skotlanti,"1,27","5,75","11,00",1 - 2,2,1,2,,A,Saksa,2,5,4,1,4,,Lohko A,,,NELJÄNNESVÄLIERÄT (4p),,,,,,,,Paras maalintekijä (10p),15,Kylian Mbpappe
2,15.06.2024,16:00,A,Unkari,Sveitsi,"3,40","3,25","2,20",0 - 3,2,0,3,,A,Skotlanti,2,3,5,−2,4,,1,Sveitsi,,Italia,,,,,,,,Paras nuori pelaaja (10p),10,Florian Wirtz
3,15.06.2024,19:00,B,Espanja,Kroatia,"1,80","3,60","4,50",2 - 2,X,2,2,,A,Sveitsi,1,8,2,6,7,,2,Saksa,,Turkki,,PUOLIVÄLIERÄT (8p),,,,,,Finaalin tuomari (10p),10,Felix Brych
4,15.06.2024,22:00,B,Italia,Albania,"1,38","4,60","8,75",4 - 1,1,4,1,,A,Unkari,4,8,6,2,1,,3,Skotlanti,,,,Italia,,,,,,Eniten Man of the Match-valintoja (5p),5,Jude Bellingham
5,16.06.2024,16:00,D,Puola,Hollanti,"5,00","3,90","1,66",1 - 2,2,1,2,,B,Albania,4,1,13,−12,0,,4,Unkari,,,,Tanska,,,,,,"Turnauksen paras joukkue (11 pelaajaa, à 3p)",3,Jan Sommer
6,16.06.2024,19:00,C,Slovenia,Tanska,"5,00","3,50","1,75",1 - 3,2,1,3,,B,Espanja,2,9,3,6,5,,Lohko B,,,Sveitsi,,,,,,,,,3,Kylian Mbappe
7,16.06.2024,22:00,C,Serbia,Englanti,"6,75","4,40","1,47",1 - 3,2,1,3,,B,Italia,1,7,3,4,7,,1,Italia,,Tanska,,,,VÄLIERÄT (12p),,,,,3,Eduardo Camavinga
8,17.06.2024,16:00,E,Romania,Ukraina,"3,70","3,30","2,05",1 - 1,X,1,1,,B,Kroatia,3,6,4,2,4,,2,Espanja,,,,,,Italia,,,,,3,Jude Bellingham
9,17.06.2024,19:00,E,Belgia,Slovakia,"1,49","4,33","6,75",3 - 0,1,3,0,,C,Englanti,1,9,4,5,7,,3,Kroatia,,,,,,Hollanti,,,,,3,Florian Wirtz
10,17.06.2024,22:00,D,Itävalta,Ranska,"6,25","4,60","1,47",1 - 4,2,1,4,,C,Serbia,3,4,7,−3,1,,4,Albania,,Tshekki,,,,,,,,,3,Phil Foden
11,18.06.2024,19:00,F,Turkki,Georgia,"1,80","3,50","4,75",2 - 1,1,2,1,,C,Slovenia,3,3,8,−5,1,,Lohko C,,,Skotlanti,,,,,,,,,3,Harry Kane
12,18.06.2024,22:00,F,Portugali,Tshekki,"1,53","4,20","6,00",0 - 1,2,0,1,,C,Tanska,1,8,5,3,7,,1,Englanti,,,,Skotlanti,,,,,,,3,Jeremie Frimpong 
13,19.06.2024,16:00,B,Kroatia,Albania,"1,57","4,00","6,00",3 - 0,1,3,0,,D,Hollanti,2,7,5,2,6,,2,Tanska,,,,Hollanti,,,,,,,3,Virgil VanDijk
14,19.06.2024,19:00,A,Saksa,Unkari,"1,33","5,25","9,25",2 - 0,1,2,0,,D,Itävalta,3,4,8,−4,3,,3,Serbia,,Hollanti,,,,,,,,,3,Antonio Rüdiger
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,"3,50","3,40","2,10",0 - 3,2,0,3,,D,Puola,4,3,7,−4,0,,4,Slovenia,,Ukraina,,,,,,FINAALI (16p),,,3,William Saliba
16,20.06.2024,16:00,C,Slovenia,Serbia,"3,75","3,40","1,98",1 - 1,X,1,1,,D,Ranska,1,10,4,6,9,,Lohko D,,,,,,,,,Voittaja Ranska,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,"5,50","3,90","1,62",2 - 2,X,2,2,,E,Belgia,1,9,1,8,9,,1,Ranska,,,,,,,,Italia,,,,
18,20.06.2024,22:00,B,Espanja,Italia,"2,35","3,30","3,00",1 - 1 ,X,1,1,,E,Romania,3,4,8,−4,2,,2,Hollanti,,Belgia,,,,,,,,,,
19,21.06.2024,16:00,E,Slovakia,Ukraina,"3,80","3,40","2,00",1 - 2,2,1,2,,E,Slovakia,4,3,7,−4,1,,3,Itävalta,,Kroatia,,,,,,,,,,
20,21.06.2024,19:00,D,Puola,Itävalta,"3,30","3,50","2,15",1 - 2,2,1,2,,E,Ukraina,2,3,3,0,4,,4,Puola,,,,Belgia,,,,,,,,
21,21.06.2024,22:00,D,Hollanti,Ranska,"4,33","3,75","1,80",2 - 3,2,2,3,,F,Georgia,4,3,6,−3,1,,Lohko E,,,,,Ranska,,,,,,,,
22,22.06.2024,16:00,F,Georgia,Tshekki,"4,60","3,50","1,82",1 - 3,2,1,3,,F,Portugali,2,5,2,3,4,,1,Belgia,,Ranska,,,,,,,,,,
23,22.06.2024,19:00,F,Turkki,Portugali,"5,25","4,00","1,62",0 - 4,2,0,4,,F,Tshekki,1,6,2,4,9,,2,Ukraina,,Portugali,,,,,,,,,,
24,22.06.2024,22:00,E,Belgia,Romania,"1,52","4,20","6,00",5 - 1,1,5,1,,F,Turkki,3,3,7,−4,3,,3,Romania,,,,,,Ranska,,,,,,
25,23.06.2024,22:00,A,Sveitsi,Saksa,"4,33","3,90","1,77",2 - 2,X,2,2,,,,,,,,,,4,Slovakia,,,,,,Englanti,,,,,,
26,23.06.2024,22:00,A,Skotlanti,Unkari,"2,80","3,50","2,40",1 - 1,X,1,1,,,,,,,,,,Lohko F,,,Englanti,,,,,,,,,,
27,24.06.2024,22:00,B,Albania,Espanja,"9,50","5,25","1,33",0 - 6,2,0,6,,,,,,,,,,1,Tshekki,,Itävalta,,,,,,,,,,
28,24.06.2024,22:00,B,Kroatia,Italia,"3,70","3,60","1,95",1 - 2,2,1,2,,,,,,,,,,2,Portugali,,,,Englanti,,,,,,,,
29,25.06.2024,19:00,D,Hollanti,Itävalta,"2,15","3,70","3,10",3 - 1,1,3,1,,,,,,,,,,3,Turkki,,,,Saksa,,,,,,,,
30,25.06.2024,19:00,D,Ranska,Puola,"1,42","4,80","6,75",3 - 1,1,3,1,,,,,,,,,,4,Georgia,,Saksa,,,,,,,,,,
31,25.06.2024,22:00,C,Englanti,Slovenia,"1,36","5,00","8,75",4 - 1,1,4,1,,,,,,,,,,,,,Espanja,,,,,,,,,,
32,25.06.2024,22:00,C,Tanska,Serbia,"2,40","3,40","2,87",3 - 2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
33,26.06.2024,19:00,E,Slovakia,Romania,"2,60","3,10","2,80",2 - 2,X,2,2,,,,,,,,,,,,,,,,,,,,,,,
34,26.06.2024,19:00,E,Ukraina,Belgia,"4,33","3,80","1,77",0 - 1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,
35,26.06.2024,22:00,F,Georgia,Portugali,"7,25","5,75","1,34",1 - 1,X,1,1,,,,,,,,,,,,,,,,,,,,,,,
36,26.06.2024,22:00,F,Tshekki,Turkki,"3,10","3,30","2,30",2 - 1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,